"Order_ID","Order_Date","Customer_ID","Product_ID","Store_ID","Quantity","Unit_Price","Discount_%","Discount_Amount","Gross_Sales","Net_Sales","Profit","Payment_Mode","Order_Status"
"O500000","2024-03-17 00:00:00","C202213","P100688","S3065","1","959.1","5","47.96","959.1","911.14","-204.1","Cash","Returned"
"O500001","2024-03-30 00:00:00","C203719","P100252","S3095","4","1284.67","5","256.93","5138.68","4881.75","-8061.09","UPI","Completed"
"O500002","2025-11-05 00:00:00","C201065","P100461","S3021","4","6604.42","20","5283.54","26417.68","21134.14","11313.86","Cash","Completed"
"O500003","2025-02-22 00:00:00","C200934","P100783","S3060","3","7657.85","10","2297.36","22973.55","20676.2","18721.91","Debit Card","Completed"
"O500004","2024-07-11 00:00:00","C203868","P100313","S3025","5","2291.87","10","1145.94","11459.35","10313.41","-957.89","UPI","Completed"
"O500005","2024-04-28 00:00:00","C200124","P100736","S3106","1","1139.92","15","170.99","1139.92","968.93","858.99","Wallet","Completed"
"O500006","2025-02-15 00:00:00","C204890","P100290","S3076","2","6621.75","20","2648.7","13243.5","10594.8","3314.74","Wallet","Completed"
"O500007","2024-06-04 00:00:00","C201952","P100493","S3089","2","7227.43","10","1445.49","14454.86","13009.37","6860.65","Cash","Completed"
"O500008","2025-06-30 00:00:00","C203028","P100660","S3119","4","2921.03","10","1168.41","11684.12","10515.71","8314.99","Wallet","Completed"
"O500009","2024-07-14 00:00:00","C204948","P100110","S3105","2","4183.18","0","0","8366.36","8366.36","5694.3","Debit Card","Completed"
"O500010","2025-11-20 00:00:00","C200248","P100502","S3081","2","426.41","20","170.56","852.82","682.26","-3612.74","UPI","Completed"
"O500011","2024-02-01 00:00:00","C201722","P100374","S3069","3","1547.82","0","0","4643.46","4643.46","-5971.05","UPI","Completed"
"O500012","2024-03-14 00:00:00","C204468","P100490","S3007","1","6999.69","5","349.98","6999.69","6649.71","2222.89","Cash","Completed"
"O500013","2025-11-16 00:00:00","C200782","P100163","S3023","3","5868.1","5","880.22","17604.3","16724.09","10669.82","Cash","Completed"
"O500014","2025-04-10 00:00:00","C202193","P100265","S3010","2","7064.87","0","0","14129.74","14129.74","7508.54","Debit Card","Completed"
"O500015","2024-04-12 00:00:00","C201228","P100682","S3118","1","3942.01","5","197.1","3942.01","3744.91","1312.26","Debit Card","Completed"
"O500016","2024-01-25 00:00:00","C204160","P100410","S3109","1","5245.62","5","262.28","5245.62","4983.34","2932.85","UPI","Completed"
"O500017","2024-01-23 00:00:00","C201826","P100674","S3011","3","1211.37","10","363.41","3634.11","3270.7","230.56","Wallet","Completed"
"O500018","2025-02-28 00:00:00","C201522","P100323","S3016","1","6979.94","5","349","6979.94","6630.94","2752.25","Cash","Completed"
"O500019","2025-08-28 00:00:00","C203693","P100351","S3100","4","5835.23","5","1167.05","23340.92","22173.87","11456.71","Wallet","Completed"
"O500020","2025-06-04 00:00:00","C202836","P100239","S3062","3","1331","20","798.6","3993","3194.4","2272.62","Debit Card","Completed"
"O500021","2024-07-24 00:00:00","C201193","P100150","S3021","5","1182.82","5","295.7","5914.1","5618.4","-14303.16","UPI","Completed"
"O500022","2024-04-04 00:00:00","C200756","P100355","S3001","4","6992.21","15","4195.33","27968.84","23773.51","14619.95","Credit Card","Completed"
"O500023","2024-04-18 00:00:00","C200632","P100573","S3065","5","3133.25","15","2349.94","15666.25","13316.31","3183.26","Credit Card","Completed"
"O500024","2024-09-01 00:00:00","C202692","P100370","S3046","4","6829.93","5","1365.99","27319.72","25953.73","12549.81","Wallet","Completed"
"O500025","2024-07-31 00:00:00","C201252","P100728","S3088","2","6447.35","15","1934.2","12894.7","10960.5","3559.9","UPI","Completed"
"O500026","2025-11-28 00:00:00","C203643","P100680","S3051","3","4939.74","15","2222.88","14819.22","12596.34","12282.54","UPI","Completed"
"O500027","2025-11-28 00:00:00","C203560","P100216","S3007","3","6194.34","10","1858.3","18583.02","16724.72","9166.22","UPI","Completed"
"O500028","2025-03-24 00:00:00","C201223","P100722","S3089","4","5028.29","5","1005.66","20113.16","19107.5","1184.18","Cash","Completed"
"O500029","2024-11-19 00:00:00","C200051","P100338","S3104","4","956.91","20","765.53","3827.64","3062.11","-456.77","Debit Card","Completed"
"O500030","2024-10-27 00:00:00","C200908","P100566","S3004","4","7116.16","15","4269.7","28464.64","24194.94","15077.58","Credit Card","Completed"
"O500031","2025-07-14 00:00:00","C201093","P100202","S3033","5","6307.32","5","1576.83","31536.6","29959.77","27916.72","Cash","Completed"
"O500032","2024-08-04 00:00:00","C202951","P100313","S3063","2","2291.87","15","687.56","4583.74","3896.18","-612.34","Wallet","Completed"
"O500033","2024-12-19 00:00:00","C202600","P100256","S3009","2","7068.74","0","0","14137.48","14137.48","13440","Cash","Returned"
"O500034","2024-09-09 00:00:00","C202515","P100303","S3080","4","5102.41","15","3061.45","20409.64","17348.19","2974.87","Cash","Completed"
"O500035","2024-02-20 00:00:00","C204762","P100700","S3043","2","657.38","15","197.21","1314.76","1117.55","-3816.03","UPI","Completed"
"O500036","2024-08-14 00:00:00","C204902","P100647","S3030","5","574.66","15","430.99","2873.3","2442.3","-1570.3","Cash","Completed"
"O500037","2025-04-11 00:00:00","C201170","P100023","S3098","5","153.91","5","38.48","769.55","731.07","-14700.88","Wallet","Completed"
"O500038","2025-06-13 00:00:00","C202165","P100578","S3119","4","4370.3","0","0","17481.2","17481.2","608.96","Credit Card","Completed"
"O500039","2025-05-06 00:00:00","C202758","P100021","S3047","4","1347.77","20","1078.22","5391.08","4312.86","-14592.82","Cash","Completed"
"O500040","2024-08-01 00:00:00","C204713","P100621","S3065","2","3744.39","15","1123.32","7488.78","6365.46","4953.46","UPI","Completed"
"O500041","2024-03-28 00:00:00","C200821","P100689","S3020","5","6481.22","20","6481.22","32406.1","25924.88","25374.88","Debit Card","Completed"
"O500042","2025-04-12 00:00:00","C201337","P100025","S3109","3","5833.58","5","875.04","17500.74","16625.7","1756.86","Credit Card","Completed"
"O500043","2025-12-25 00:00:00","C204612","P100648","S3108","3","7077.04","5","1061.56","21231.12","20169.56","19108.52","Cash","Completed"
"O500044","2024-12-18 00:00:00","C203893","P100531","S3088","3","7129.57","20","4277.74","21388.71","17110.97","6204.53","Credit Card","Completed"
"O500045","2024-05-15 00:00:00","C203945","P100718","S3111","2","7118.18","5","711.82","14236.36","13524.54","4497.1","Cash","Completed"
"O500046","2025-03-12 00:00:00","C200028","P100282","S3062","2","6587.36","10","1317.47","13174.72","11857.25","7544.87","Wallet","Completed"
"O500047","2024-01-11 00:00:00","C201326","P100780","S3086","4","5181.66","20","4145.33","20726.64","16581.31","4245.11","Credit Card","Returned"
"O500048","2024-11-02 00:00:00","C201924","P100624","S3042","3","6919.3","15","3113.68","20757.9","17644.22","10261.33","Cash","Completed"
"O500049","2024-09-14 00:00:00","C201261","P100721","S3022","1","4720.05","10","472.01","4720.05","4248.04","934.24","Cash","Cancelled"
"O500050","2024-07-30 00:00:00","C202400","P100598","S3116","3","7052.09","10","2115.63","21156.27","19040.64","11232.81","Debit Card","Completed"
"O500051","2025-04-26 00:00:00","C202003","P100545","S3016","5","7905.24","5","1976.31","39526.2","37549.89","31515.54","UPI","Cancelled"
"O500052","2024-07-04 00:00:00","C202160","P100580","S3042","2","6682.51","0","0","13365.02","13365.02","7091.52","Credit Card","Completed"
"O500053","2024-10-31 00:00:00","C201157","P100530","S3012","1","1209.35","15","181.4","1209.35","1027.95","462.61","Wallet","Completed"
"O500054","2025-07-01 00:00:00","C204856","P100096","S3018","5","6302.36","15","4726.77","31511.8","26785.03","25811.18","Wallet","Completed"
"O500055","2024-12-20 00:00:00","C200565","P100479","S3012","1","715.03","5","35.75","715.03","679.28","-2178.92","Debit Card","Completed"
"O500056","2025-03-30 00:00:00","C203676","P100070","S3012","2","4859.62","15","1457.89","9719.24","8261.35","5981.53","Cash","Completed"
"O500057","2024-01-29 00:00:00","C201429","P100240","S3064","5","5591.52","20","5591.52","27957.6","22366.08","8718.98","Wallet","Completed"
"O500058","2024-07-18 00:00:00","C200829","P100436","S3096","3","2763.78","10","829.13","8291.34","7462.21","-5508.29","UPI","Completed"
"O500059","2025-06-27 00:00:00","C200608","P100659","S3098","1","2451.21","15","367.68","2451.21","2083.53","532.32","Cash","Completed"
"O500060","2025-02-04 00:00:00","C202498","P100419","S3054","3","3822.15","0","0","11466.45","11466.45","3230.79","Debit Card","Completed"
"O500061","2025-10-21 00:00:00","C202371","P100797","S3010","3","3820.47","20","2292.28","11461.41","9169.13","-2511.1","Debit Card","Completed"
"O500062","2024-12-20 00:00:00","C203352","P100362","S3075","4","3792.64","0","0","15170.56","15170.56","-4138.8","Debit Card","Completed"
"O500063","2024-05-07 00:00:00","C203384","P100737","S3101","2","5066.1","0","0","10132.2","10132.2","562.84","Debit Card","Completed"
